Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy_Kawasaki	Heat_Capacity_Kawasaki	Heat_Capacity_Over_Temp	Entropy	Prob1	Prob0	Prob_-1
7.825	0.0308016	0.0325163	0.031307	6.9702e-005	7.70141e-005	7.40807e-005	-106.173	11.0684	1.4145	0.722253	0.295987	0.295987	0.408027
7.826	0.0323899	0.0319458	0.0324431	7.83146e-005	7.8033e-005	8.01082e-005	-103.65	11.7678	1.50368	0.722255	0.295858	0.295858	0.408284
7.827	0.0315602	0.0322063	0.0312969	7.24257e-005	7.63272e-005	7.33593e-005	-105.502	11.2552	1.438	0.722257	0.296216	0.296216	0.407568
7.828	0.0317099	0.0323145	0.0327908	7.25301e-005	7.85905e-005	7.89535e-005	-107.278	11.7731	1.50398	0.722258	0.295625	0.295625	0.408749
7.829	0.0327405	0.0330228	0.0319348	7.77746e-005	7.84016e-005	7.40189e-005	-108.409	11.6651	1.48998	0.72226	0.295477	0.295477	0.409047
7.83	0.0327676	0.0320973	0.0316624	7.56624e-005	7.46053e-005	7.27961e-005	-104.893	11.8674	1.51564	0.722262	0.296033	0.296033	0.407934
7.831	0.0325742	0.0324221	0.032623	8.025e-005	7.4782e-005	7.79445e-005	-109.36	11.6453	1.48708	0.722263	0.295841	0.295841	0.408319
7.832	0.0306559	0.0327321	0.0326357	7.18237e-005	7.78463e-005	7.7242e-005	-105.295	12.1525	1.55164	0.722265	0.295924	0.295924	0.408153
7.833	0.0322123	0.0318433	0.032366	7.71288e-005	7.41983e-005	7.63201e-005	-106.202	12.2795	1.56766	0.722267	0.295648	0.295648	0.408704
7.834	0.0316447	0.0317513	0.0327106	7.42069e-005	7.41107e-005	7.47922e-005	-105.382	12.4856	1.59376	0.722268	0.296178	0.296178	0.407645
7.835	0.0325155	0.0318299	0.0327228	7.90296e-005	7.26986e-005	7.74012e-005	-105.418	11.5462	1.47367	0.72227	0.296158	0.296158	0.407684
7.836	0.0327546	0.0329111	0.0323773	7.83407e-005	7.73016e-005	7.81281e-005	-106.83	12.3843	1.58044	0.722272	0.296169	0.296169	0.407662
7.837	0.0309377	0.0327431	0.0325429	7.02702e-005	7.7732e-005	8.08465e-005	-105.209	11.4069	1.45552	0.722274	0.296041	0.296041	0.407918
7.838	0.0327317	0.0321218	0.0312034	7.77311e-005	7.6517e-005	7.26024e-005	-106.002	11.1538	1.42304	0.722275	0.296057	0.296057	0.407887
7.839	0.0313241	0.0315682	0.032064	7.36223e-005	7.33227e-005	7.35746e-005	-104.704	12.0153	1.53276	0.722277	0.295789	0.295789	0.408422
7.84	0.03163	0.0315977	0.0323438	7.13246e-005	7.13266e-005	7.62872e-005	-104.965	11.8905	1.51665	0.722279	0.295816	0.295816	0.408367
7.841	0.0311676	0.0322003	0.0316866	6.95464e-005	7.37367e-005	7.41232e-005	-105.408	12.3794	1.5788	0.72228	0.295702	0.295702	0.408597
7.842	0.0320183	0.0322202	0.031727	7.60296e-005	7.75686e-005	7.39287e-005	-105.669	12.0248	1.53338	0.722282	0.295765	0.295765	0.40847
7.843	0.0330058	0.0322081	0.0314941	7.43689e-005	7.37828e-005	7.01032e-005	-106.436	11.7091	1.49294	0.722284	0.296213	0.296213	0.407574
7.844	0.032436	0.0319296	0.0317082	7.75714e-005	7.40573e-005	7.21738e-005	-105.081	11.3256	1.44386	0.722285	0.29579	0.29579	0.408421
7.845	0.0324065	0.0317604	0.0313199	7.68394e-005	7.10032e-005	7.1453e-005	-105.756	11.8028	1.50449	0.722287	0.295605	0.295605	0.40879
7.846	0.0322138	0.0321364	0.032106	7.4683e-005	7.52144e-005	7.40824e-005	-105.761	11.4233	1.45594	0.722289	0.296086	0.296086	0.407828
7.847	0.0325827	0.0326872	0.0328574	7.71182e-005	7.71699e-005	7.9595e-005	-105.758	11.6226	1.48115	0.72229	0.29584	0.29584	0.408319
7.848	0.0317375	0.0322343	0.0310803	7.18788e-005	7.47224e-005	7.12848e-005	-106.22	11.5537	1.47218	0.722292	0.295672	0.295672	0.408656
7.849	0.0325083	0.0326238	0.0327801	7.5347e-005	7.51497e-005	7.63357e-005	-106.513	12.5544	1.59949	0.722293	0.295724	0.295724	0.408551
7.85	0.0325165	0.0317103	0.0326664	7.60136e-005	7.32098e-005	7.76222e-005	-104.884	11.2931	1.43861	0.722295	0.29608	0.29608	0.407841
7.851	0.0320539	0.0319231	0.0307763	7.45256e-005	7.09576e-005	7.23041e-005	-107.201	11.6661	1.48594	0.722297	0.295819	0.295819	0.408362
7.852	0.0324961	0.0325045	0.0321296	7.32596e-005	7.5484e-005	7.53102e-005	-107.071	12.0905	1.5398	0.722299	0.295903	0.295903	0.408193
7.853	0.0321782	0.0328392	0.0323669	7.58936e-005	7.66439e-005	7.55658e-005	-106.664	11.6602	1.48481	0.7223	0.295806	0.295806	0.408388
7.854	0.0325592	0.0311171	0.0324882	7.65148e-005	6.98585e-005	7.71107e-005	-105.414	12.0764	1.53761	0.722302	0.295584	0.295584	0.408831
7.855	0.0326952	0.0319657	0.032584	7.86717e-005	7.58378e-005	7.97511e-005	-106.322	12.182	1.55086	0.722304	0.2957	0.2957	0.408599
7.856	0.0326835	0.0319051	0.0326044	7.67837e-005	7.43199e-005	7.4462e-005	-108.401	11.8936	1.51395	0.722305	0.295691	0.295691	0.408618
7.857	0.0319201	0.031923	0.0322682	7.68467e-005	7.45124e-005	7.07805e-005	-104.842	11.5315	1.46767	0.722307	0.295714	0.295714	0.408573
7.858	0.0320761	0.0337213	0.0322551	7.26152e-005	7.82654e-005	7.41705e-005	-106.943	11.8401	1.50676	0.722309	0.295781	0.295781	0.408438
