Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy	Heat_Capacity	Heat_Capacity_Over_Temp	Entropy	Prob1	Prob0	Prob_-1
9.869	0.0325069	0.0327685	0.0325625	6.00682e-005	6.0088e-005	5.96302e-005	-156.524	13.5338	1.37134	0.000142264	0.335459	0.335229	0.329312
9.868	0.0326389	0.0313565	0.0326389	5.79483e-005	5.25378e-005	5.89138e-005	-155.868	13.7488	1.39327	0.000143322	0.335132	0.335411	0.329457
9.867	0.0315556	0.0328356	0.0334653	5.97455e-005	5.97467e-005	6.69159e-005	-157.463	14.7168	1.49152	0.000144397	0.335213	0.33564	0.329147
9.866	0.0305926	0.0314375	0.0310046	5.37745e-005	5.69094e-005	5.62812e-005	-158.733	13.2481	1.34281	0.000145548	0.335365	0.335502	0.329133
9.865	0.0326088	0.0321713	0.0321389	5.97951e-005	5.8359e-005	5.79337e-005	-156.621	13.914	1.41044	0.000146584	0.335439	0.335284	0.329277
9.864	0.031537	0.0318287	0.0329907	6.83065e-005	6.42089e-005	6.11337e-005	-155.086	13.8801	1.40715	0.000147673	0.335435	0.335313	0.329252
9.863	0.0316042	0.0315486	0.0306204	5.83812e-005	5.42918e-005	5.33142e-005	-157.382	15.3288	1.55417	0.000148758	0.335495	0.335344	0.32916
9.862	0.0323148	0.0320463	0.033	5.78219e-005	5.51103e-005	5.97356e-005	-155.103	13.7772	1.397	0.000149957	0.335623	0.334995	0.329383
9.861	0.0310972	0.0330046	0.0323657	5.45725e-005	6.88591e-005	6.17094e-005	-156.632	13.6127	1.38046	0.000151035	0.335157	0.335718	0.329125
9.86	0.0314352	0.0349491	0.0320324	5.3428e-005	6.90677e-005	5.80539e-005	-154.174	15.4396	1.56588	0.000152101	0.334853	0.335882	0.329265
9.859	0.0321296	0.0317546	0.0323634	5.83141e-005	6.47474e-005	5.81527e-005	-155.747	14.2414	1.44451	0.000153309	0.335601	0.335387	0.329012
9.858	0.0330069	0.032044	0.0325856	6.30165e-005	6.23221e-005	5.5827e-005	-156.565	14.138	1.43416	0.000154423	0.335287	0.335184	0.329529
9.857	0.0320625	0.0319375	0.0335023	6.24667e-005	6.14257e-005	6.55264e-005	-153.127	15.0715	1.52901	0.00015553	0.33552	0.335533	0.328947
9.856	0.0336921	0.0306736	0.0315856	6.58091e-005	5.86811e-005	5.96863e-005	-157.257	14.7136	1.49286	0.00015671	0.335157	0.335294	0.329549
9.855	0.0321481	0.0307847	0.0337847	6.05963e-005	5.28908e-005	5.92226e-005	-155.117	13.3378	1.3534	0.000157862	0.335549	0.335326	0.329125
9.854	0.0317477	0.0325972	0.032713	5.5763e-005	6.25284e-005	6.05943e-005	-155.472	14.4481	1.46622	0.000158906	0.335295	0.335621	0.329084
