Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy_Kawasaki	Heat_Capacity_Kawasaki	Heat_Capacity_Over_Temp	Entropy_Kawasaki	Prob1	Prob0	Prob_-1
6.127	0.0327808	0.0330236	0.0327144	9.89902e-005	9.69009e-005	9.87181e-005	-129.346	18.768	3.06316	0.0067179	0.297746	0.297746	0.404508
6.126	0.0327731	0.0326129	0.032043	9.65852e-005	9.81453e-005	9.32888e-005	-132.781	18.3748	2.99948	0.00672131	0.297839	0.297839	0.404322
6.125	0.0336493	0.033448	0.0328955	0.000101688	0.00010282	9.8545e-005	-131.481	18.6734	3.04872	0.00672464	0.297968	0.297968	0.404065
6.124	0.0334632	0.0339403	0.0340757	0.000107497	0.00010998	0.000109646	-132.198	18.7528	3.06218	0.00672803	0.297418	0.297418	0.405165
6.123	0.033004	0.0332577	0.0335141	0.0001	9.80467e-005	0.000105414	-132.929	18.271	2.984	0.00673143	0.297575	0.297575	0.404851
6.122	0.0339032	0.0339573	0.0338227	0.000103549	0.000104979	0.000105755	-134.094	18.0047	2.94099	0.00673474	0.297027	0.297027	0.405946
6.121	0.033531	0.0332189	0.032383	9.93959e-005	0.000105742	9.7152e-005	-130.79	18.1342	2.96261	0.00673801	0.29762	0.29762	0.40476
6.12	0.0345488	0.0332576	0.0333876	0.000110816	0.000105788	0.000102664	-130.962	17.8012	2.90869	0.0067413	0.298006	0.298006	0.403987
6.119	0.0333391	0.033553	0.0328136	0.000102418	0.000107937	9.92539e-005	-131.938	18.9308	3.09378	0.00674454	0.29759	0.29759	0.404819
6.118	0.0337232	0.0340515	0.0338823	0.000103826	0.000104754	0.000106325	-129.494	19.9516	3.26112	0.00674797	0.297724	0.297724	0.404553
6.117	0.0332831	0.0324987	0.0324648	0.000101489	0.000101983	9.89156e-005	-132.213	18.4631	3.01832	0.0067516	0.297545	0.297545	0.40491
6.116	0.0336169	0.0328666	0.0332364	0.000105731	0.000101643	0.000103638	-132.484	18.2562	2.98498	0.00675495	0.297567	0.297567	0.404866
6.115	0.0324975	0.0334433	0.0338085	9.98907e-005	0.000105517	0.000101768	-129.267	17.5582	2.87134	0.00675827	0.298113	0.298113	0.403774
6.114	0.0338735	0.0339124	0.0346132	0.000108665	0.000108735	0.000109049	-130.935	19.0184	3.11062	0.00676146	0.297607	0.297607	0.404786
6.113	0.0336757	0.0331132	0.034165	0.000106131	0.000105314	0.000109056	-132.795	19.7059	3.2236	0.00676491	0.297788	0.297788	0.404423
6.112	0.0325042	0.0336827	0.0330675	0.000102509	0.000104209	0.000103194	-130.694	17.7099	2.89757	0.0067685	0.297967	0.297967	0.404066
6.111	0.0335967	0.0329048	0.0329009	0.000103233	0.000104235	9.6958e-005	-131.867	18.0102	2.94718	0.00677171	0.297648	0.297648	0.404704
6.11	0.0341555	0.0331874	0.0331148	0.000103309	9.99198e-005	9.9158e-005	-131.876	18.4991	3.02768	0.00677499	0.297562	0.297562	0.404877
6.109	0.0328162	0.0337747	0.0330979	0.000103979	0.000104772	0.000102224	-130.104	20.1674	3.30127	0.00677835	0.297669	0.297669	0.404663
6.108	0.0340577	0.0336554	0.0344669	0.000108273	0.00010534	0.000113802	-131.053	20.0697	3.2858	0.00678202	0.298072	0.298072	0.403857
6.107	0.0330551	0.0326868	0.033291	0.000101763	9.32217e-005	0.000108635	-132.882	18.2984	2.9963	0.00678567	0.297726	0.297726	0.404547
6.106	0.0330202	0.0335851	0.0329137	9.84271e-005	0.000106436	0.000101315	-132.564	19.3906	3.17566	0.006789	0.297865	0.297865	0.404271
6.105	0.0330151	0.0336963	0.0333034	0.000102884	0.000105213	0.000103907	-133.504	17.8597	2.92542	0.00679253	0.297357	0.297357	0.405286
6.104	0.0340794	0.0339282	0.0338491	0.000106119	0.000108397	0.000111394	-129.147	19.5594	3.20435	0.00679578	0.297347	0.297347	0.405306
6.103	0.0334778	0.0332009	0.033126	0.000101398	0.000103099	9.87996e-005	-130.052	17.5053	2.86831	0.00679934	0.297542	0.297542	0.404916
6.102	0.0335294	0.0324204	0.0336033	0.000105859	0.000101839	0.000105393	-132.366	19.9489	3.26924	0.00680253	0.2978	0.2978	0.4044
6.101	0.0354062	0.0339974	0.0339037	0.000111634	0.000107152	0.00010583	-131.348	18.0797	2.9634	0.00680616	0.298011	0.298011	0.403978
6.1	0.033954	0.0335703	0.033008	0.000104112	0.000105803	9.62212e-005	-130.635	19.2453	3.15497	0.00680945	0.297405	0.297405	0.405189
6.099	0.0332464	0.032652	0.0330238	0.000107383	9.60555e-005	0.000102913	-130.942	18.7153	3.06858	0.00681296	0.297837	0.297837	0.404327
6.098	0.0333251	0.0331748	0.0332389	0.000103116	0.000102694	0.000103524	-129.504	19.5522	3.20634	0.00681637	0.297202	0.297202	0.405596
6.097	0.0335309	0.033516	0.0327717	0.000103918	0.000107836	9.8731e-005	-130.649	19.8733	3.25953	0.00681993	0.29778	0.29778	0.40444
6.096	0.0320927	0.0326181	0.0329565	9.6328e-005	0.000102282	9.88848e-005	-132.588	18.2784	2.99843	0.00682355	0.297849	0.297849	0.404301
6.095	0.0339231	0.0328382	0.0344384	0.000108154	0.000102182	0.000105585	-132.19	19.1726	3.14562	0.00682688	0.297658	0.297658	0.404683
6.094	0.0333895	0.0331145	0.0330802	0.00010849	0.000110814	0.000100457	-133.661	19.3874	3.18139	0.00683038	0.297998	0.297998	0.404004
6.093	0.0343281	0.0334705	0.0334997	0.00010849	0.00010566	0.000104024	-132.471	17.5723	2.88401	0.00683391	0.297748	0.297748	0.404504
6.092	0.0333119	0.0329199	0.0334104	0.000105719	0.000104282	0.000102757	-132.956	18.9617	3.11255	0.00683712	0.297804	0.297804	0.404391
6.091	0.0329891	0.0337148	0.0335147	0.000102412	0.000107921	0.000104141	-131.026	19.6194	3.22104	0.00684058	0.298243	0.298243	0.403514
6.09	0.0346421	0.0345267	0.0334227	0.000111766	0.000108313	0.00010488	-135.032	18.9754	3.11583	0.00684416	0.297826	0.297826	0.404349
6.089	0.0333429	0.0336632	0.0340424	0.000108742	0.000107771	0.000107884	-131.82	18.8626	3.09781	0.00684762	0.297703	0.297703	0.404593
6.088	0.0326205	0.0331357	0.0338153	0.000101551	0.000102024	0.000108663	-133.069	18.6574	3.06462	0.00685106	0.297998	0.297998	0.404004
