Temp	Magnetism_1_Incorrect	Magnetism_2_Incorrect	Susceptibility_1_Incorrect	Susceptibility_2_Incorrect	Energy_Incorrect	Heat_Capacity_Incorrect	Heat_Capacity/Temp_Incorrect	Entropy_Incorrect	Prob3	Prob2	Prob1	Prob0	Prob_neg1	Prob_neg2	Prob_neg3
1.892	0.00508322	-0.00508322	0.00455917	0.00455917	-528.097	612.205	323.575	0.864745	0	0	0.346264	0.307473	0.346264	0	0
1.893	-0.0207648	0.0207648	0.0050144	0.0050144	-532.313	547.948	289.46	0.865105	0	0	0.346557	0.306886	0.346557	0	0
1.894	-0.00544804	0.00544804	0.00500909	0.00500909	-524.076	613.183	323.75	0.865426	0	0	0.346132	0.307736	0.346132	0	0
1.895	-0.0257178	0.0257178	0.0062357	0.0062357	-527.603	574.622	303.231	0.865786	0	0	0.346487	0.307025	0.346487	0	0
1.896	-0.0318805	0.0318805	0.0047513	0.0047513	-530.997	607.741	320.538	0.866123	0	0	0.346441	0.307117	0.346441	0	0
1.897	-0.0161326	0.0161326	0.00578367	0.00578367	-530.265	617.452	325.489	0.866479	0	0	0.346714	0.306572	0.346714	0	0
1.898	-0.0270047	0.0270047	0.00371501	0.00371501	-529.858	746.668	393.397	0.866841	0	0	0.346229	0.307541	0.346229	0	0
1.899	-0.00887942	0.00887942	0.00444857	0.00444857	-523.854	630.151	331.833	0.867278	0	0	0.345933	0.308134	0.345933	0	0
1.9	-0.0420887	0.0420887	0.00421964	0.00421964	-532.445	666.871	350.985	0.867647	0	0	0.346521	0.306957	0.346521	0	0
1.901	0.0209148	-0.0209148	0.00600319	0.00600319	-523.134	586.368	308.452	0.868037	0	0	0.345329	0.309343	0.345329	0	0
1.902	0.0131018	-0.0131018	0.00650006	0.00650006	-527.949	656.517	345.172	0.868379	0	0	0.34641	0.30718	0.34641	0	0
1.903	-0.0273107	0.0273107	0.00628558	0.00628558	-527.635	573.541	301.388	0.868763	0	0	0.345654	0.308691	0.345654	0	0
1.904	-0.0321912	0.0321912	0.00602662	0.00602662	-529.025	534.473	280.711	0.869098	0	0	0.345773	0.308454	0.345773	0	0
1.905	-0.00104498	0.00104498	0.00625322	0.00625322	-524.02	624.788	327.973	0.86941	0	0	0.346082	0.307836	0.346082	0	0
1.906	0.00107322	-0.00107322	0.00430527	0.00430527	-526.158	665.498	349.16	0.869774	0	0	0.346138	0.307724	0.346138	0	0
1.907	-0.0250747	0.0250747	0.00438196	0.00438196	-525.726	590.046	309.411	0.870162	0	0	0.346204	0.307593	0.346204	0	0
1.908	0.00585293	-0.00585293	0.00512705	0.00512705	-522.185	570.976	299.253	0.870506	0	0	0.345527	0.308946	0.345527	0	0
