0	1
0	0.997654	0.666666	-4.29501e+008	-1.#INF	1.#INF
3.71	0.279105	0.453569	-4.29498e+008	19.2966	3.08206e-005
3.72	0.211065	0.0702784	-4.29498e+008	28.327	7.44728e-005
3.73	0.226142	0.120522	-4.29498e+008	28.8193	9.17847e-005
3.74	0.402099	0.595407	-4.29498e+008	18.6908	2.48653e-005
3.75	0.412824	0.608188	-4.29498e+008	23.4837	2.06836e-005
3.76	0.326327	0.536711	-4.29498e+008	41.9421	3.53847e-005
3.77	0.193596	0.395668	-4.29498e+008	17.0212	2.75414e-005
3.78	0.113102	0.142171	-4.29498e+008	15.5203	1.56306e-005
3.79	0.19375	0.0674544	-4.29498e+008	32.6146	7.78706e-005
3.8	0.123333	-0.266501	-4.29498e+008	26.5042	2.9982e-005
3.81	0.349846	0.542035	-4.29498e+008	33.199	4.35203e-005
3.82	0.186543	0.0469965	-4.29498e+008	24.802	6.20701e-005
3.83	0.337392	0.481997	-4.29498e+008	35.4273	9.01776e-005
3.84	0.183071	0.178535	-4.29498e+008	22.0052	4.37791e-005
